0,1,2,3,4,5,6,7,8
List of European stadiums by capacity,66,King Baudouin Stadium,"50,093",Brussels, Belgium,Belgium national football team,1930,
List of European stadiums by capacity,67,Estádio do Dragão,"50,033",Porto, Portugal,F.C. Porto.UEFA Euro 2004 venue.,2003,4
List of European stadiums by capacity,68,Max-Morlock-Stadion,"50,000",Nuremberg, Germany,1. FC Nürnberg. 2006 FIFA World Cup venue.,1928,
List of European stadiums by capacity,69,Gaelic Grounds,"49,866",Limerick, Ireland,Limerick GAA,1928,
List of European stadiums by capacity,70,Fritz-Walter-Stadion,"49,780",Kaiserslautern, Germany,1. FC Kaiserslautern. 2006 FIFA World Cup venue.,1920,
List of European stadiums by capacity,71,HDI-Arena,"49,000",Hanover, Germany,Hannover 96. 2006 FIFA World Cup venue.Stadium uses retractable seating.,1954,
List of European stadiums by capacity,72,Stadium of Light,"49,000",Sunderland, England,Sunderland A.F.C.,1997,
List of European stadiums by capacity,73,Parc des Princes,"47,929",Paris, France,Paris Saint-Germain F.C.,1897,
List of European stadiums by capacity,74,Şükrü Saracoğlu Stadium,"47,834",Istanbul, Turkey,Fenerbahçe S.K.,2006,4
List of European stadiums by capacity,75,Stadio Artemio Franchi,"47,282",Florence, Italy,ACF Fiorentina.1990 FIFA World Cup venue.,1931,
List of European stadiums by capacity,76,Volgograd Arena,"45,568",Volgograd, Russia,Rotor Volgograd.2018 FIFA World Cup venue.,2018,4
List of European stadiums by capacity,77,Otkrytie Arena,"45,360",Moscow, Russia,"Spartak Moscow.2017 FIFA Confederations Cup venue, 2018 FIFA World Cup venue.",2014,4
List of European stadiums by capacity,78,Kazan Arena,"45,105",Kazan, Russia,"Rubin Kazan.2017 FIFA Confederations Cup, 2018 FIFA World Cup venue.",2013,4
List of European stadiums by capacity,79,Panathinaiko Stadium,"45,000",Athens, Greece,1896 Summer Olympics venue.,1869,
List of European stadiums by capacity,80,Páirc Uí Chaoimh,"45,000",Cork City, Ireland,Cork GAA,1976,
List of European stadiums by capacity,81,Rostov Arena,"45,000 (t)37,868",Rostov-on-Don, Russia,FC Rostov.2018 FIFA World Cup venue.,2018,4
List of European stadiums by capacity,82,Cosmos Arena,"44,918",Samara, Russia,Krylia Sovetov Samara.2018 FIFA World Cup venue.,2018,4
List of European stadiums by capacity,83,Strelka Stadium,"44,899",Nizhny Novgorod, Russia,FC Nizhny Novgorod.2018 FIFA World Cup venue.,2018,4
List of European stadiums by capacity,84,Mordovia Arena,"44,442 (t)28,000",Saransk, Russia,Mordovia Saransk.2018 FIFA World Cup venue.,2018,4
List of European stadiums by capacity,85,Red Bull Arena,"44,345",Leipzig, Germany,RB Leipzig.2006 FIFA World Cup venue.,1954,
List of European stadiums by capacity,86,Bursa Büyüksehir Stadium,"43,761",Bursa, Turkey,Bursaspor,2015,4
List of European stadiums by capacity,87,Stadion Energa Gdańsk,"43,615",Gdańsk, Poland,"Lechia Gdańsk, UEFA Euro 2012",2011,4
List of European stadiums by capacity,88,Vasil Levski National Stadium,"43,530",Sofia, Bulgaria,Bulgaria national football team,1953,
List of European stadiums by capacity,89,INEA Stadion,"43,269",Poznań, Poland,"Lech Poznań, UEFA Euro 2012",1980,4
List of European stadiums by capacity,90,Şenol Güneş Stadium,"43,223",Trabzon, Turkey,Trabzonspor,2016,4
List of European stadiums by capacity,91,Fitzgerald Stadium,"43,180",Killarney, Ireland,Kerry GAA,1936,
List of European stadiums by capacity,92,Ullevi,"43,000",Gothenburg, Sweden,"1995 World Championships in Athletics and 2006 European Championships in Athletics venue, Gothenburg derbies, 1958 World Cup venue",1958,
List of European stadiums by capacity,93,Villa Park,"42,788",Birmingham, England,Aston Villa F.C. 1966 World Cup venue.,1897,4
List of European stadiums by capacity,94,Wrocław City Stadium,"42,771",Wrocław, Poland,"Śląsk Wrocław, UEFA Euro 2012",2011,4
List of European stadiums by capacity,95,Estadio Ramón Sánchez Pizjuán,"42,714",Seville, Spain,Sevilla FC.1982 FIFA World Cup venue.,1957,
List of European stadiums by capacity,96,Weserstadion,"42,500",Bremen, Germany,SV Werder Bremen.Stadium uses retractable seating.,1923,
List of European stadiums by capacity,97,Matmut Atlantique,"42,115",Bordeaux, France,FC Girondins de Bordeaux,2015,
List of European stadiums by capacity,98,MacHale Park,"42,000",Castlebar, Ireland,Mayo GAA,1931,
List of European stadiums by capacity,99,Stade Geoffroy-Guichard,"42,000",Saint-Étienne, France,AS Saint-Étienne,1931,
List of European stadiums by capacity,100,Vodafone Stadium,"41,903",Istanbul, Turkey,Beşiktaş,2016,4
List of European stadiums by capacity,101,Stamford Bridge,"41,841",London, England,Chelsea F.C.,1877,
List of European stadiums by capacity,102,Juventus Stadium,"41,507",Turin, Italy,Juventus F.C.,2011,4
List of European stadiums by capacity,103,Stade Bollaert-Delelis,"41,233","Lens, Pas-de-Calais", France,RC Lens,1932,
List of European stadiums by capacity,104,Fisht Olympic Stadium,"41,220 (t)40,000",Sochi, Russia,"PFC Sochi.2014 Winter Olympics, 2017 FIFA Confederations Cup, 2018 FIFA World Cup venue.",2013,4
List of European stadiums by capacity,105,Dinamo Stadium,"41,040",Minsk, Belarus,"FC Minsk, Belarus national football team",1934,
List of European stadiums by capacity,106,Helsinki Olympic Stadium,"40,600",Helsinki, Finland,"1952 Summer Olympics, 1983 World Championships in Athletics and 2005 World Championships in Athletics venue, Finland national football team",1938,
List of European stadiums by capacity,107,Estadi Cornellà-El Prat,"40,500",Barcelona, Spain,RCD Espanyol,2009,4
List of European stadiums by capacity,108,Stade Gerland,"40,494",Lyon, France,Lyon Olympique Universitaire,1926,
List of European stadiums by capacity,109,Stadio San Filippo,"40,200",Messina, Italy,A.C.R. Messina,2004,
List of European stadiums by capacity,110,Metalist Stadium,"40,003",Kharkiv, Ukraine,"FC Metalist 1925 Kharkiv, UEFA Euro 2012 venue",1926,4
List of European stadiums by capacity,111,Hillsborough Stadium,"39,814",Sheffield, England,"Sheffield Wednesday F.C., 1966 World Cup venue, UEFA Euro 1996 venue.",1899,
List of European stadiums by capacity,112,Goodison Park,"39,572",Liverpool, England,Everton F.C. 1966 World Cup venue.,1892,
List of European stadiums by capacity,113,Elland Road,"39,460",Leeds, England,Leeds United A.F.C.,1897,
List of European stadiums by capacity,114,Stadio Renato Dall'Ara,"39,444",Bologna, Italy,Bologna F.C. 1909.1990 FIFA World Cup venue.,1927,
List of European stadiums by capacity,115,Stadio Marcantonio Bentegodi,"39,211",Verona, Italy,"A.C. ChievoVerona, Hellas Verona F.C..1990 FIFA World Cup venue.",1963,
List of European stadiums by capacity,116,Estadio Manuel Martínez Valero,"38,750",Elche, Spain,Elche CF.1982 FIFA World Cup venue.,1976,
List of European stadiums by capacity,117,St. Jakob-Park,"38,512",Basel, Switzerland,"FC Basel, UEFA Euro 2008",2001,4
List of European stadiums by capacity,118,Stade de la Beaujoire,"38,285",Nantes, France,FC Nantes,1984,
List of European stadiums by capacity,119,Telia Parken,"38,065",Copenhagen, Denmark,"FC København, Danish national football team",1992,
List of European stadiums by capacity,120,Torku Arena,"37,829",Konya, Turkey,Konyaspor,2014,4
List of European stadiums by capacity,121,Stadio Renzo Barbera,"37,619",Palermo, Italy Italy,U.S. Città di Palermo.1990 FIFA World Cup venue.,1932,
List of European stadiums by capacity,122,Estádio Nacional,"37,593","Oeiras Municipality, Portugal", Portugal Portugal,Cup of Portugal Final,1944,
List of European stadiums by capacity,123,Stadio Arechi,"37,245",Salerno, Italy,Salernitana Calcio 1919,1991,
List of European stadiums by capacity,124,Maksimir Stadium,"37,168",Zagreb, Croatia,"Dinamo Zagreb, Croatia national football team*",1912,4
List of European stadiums by capacity,125,Kazhimukan Munaitpasov Stadium (Shymkent),"37,000",Shymkent, Kazakhstan,FC Ordabasy,1969,
List of European stadiums by capacity,126,Cebeci İnönü Stadium,"37,000",Ankara, Turkey,"Hacettepe, Ankara Demirspor",1967,
List of European stadiums by capacity,127,Stadio Luigi Ferraris,"36,536",Genoa, Italy,"Genoa C.F.C., U.C. Sampdoria.1990 FIFA World Cup venue.",1911,
List of European stadiums by capacity,128,Stadio Via del Mare,"36,285",Lecce, Italy,U.S. Lecce,1966,
List of European stadiums by capacity,129,White Hart Lane,"36,257",London, England,Tottenham Hotspur F.C.,1899,
List of European stadiums by capacity,130,St Tiernach's Park,"36,000",Clones, Ireland,Monaghan GAA,1944,
List of European stadiums by capacity,131,Central Stadium (Yekaterinburg),"35,696 (t)23,000",Yekaterinburg, Russia,FC Ural Sverdlovsk Oblast*. 2018 FIFA World Cup venue.,1957,
List of European stadiums by capacity,132,Asim Ferhatović Hase Stadium,"35,630",Sarajevo, Bosnia and Herzegovina,"FK Sarajevo, Bosnia and Herzegovina national football team",1947,
List of European stadiums by capacity,133,Allianz Riviera,"35,624",Nice, France,"OGC Nice, RC Toulonnais*",2013,
List of European stadiums by capacity,134,Stadium Municipal,"35,472",Toulouse, France,"Toulouse FC, Stade Toulousain*",1937,
List of European stadiums by capacity,135,Ludwigspark Stadion,"35,303",Saarbrücken, Germany,1. FC Saarbrücken,1953,
List of European stadiums by capacity,136,Gaziantep Arena,"35,219",Gaziantep, Turkey,Gaziantepspor,2017,4
List of European stadiums by capacity,137,Kaliningrad Stadium,"35,212 (t)25,000",Kaliningrad, Russia,"Baltika Kaliningrad, 2018 FIFA World Cup venue.",2018,4
List of European stadiums by capacity,138,Riverside Stadium,"35,100",Middlesbrough, England,Middlesbrough F.C.,1995,
List of European stadiums by capacity,139,Stadion Poljud,"35,000",Split, Croatia,Hajduk Split,1979,4
List of European stadiums by capacity,140,Olympic Stadium,"35,000",Wrocław, Poland,Sparta Wrocław,1928,
List of European stadiums by capacity,142,New Eskişehir Stadium,"34,930",Eskişehir, Turkey,Eskişehirspor,2016,4
List of European stadiums by capacity,143,Arena Lviv,"34,915",Lviv, Ukraine,"FC Lviv, UEFA Euro 2012 venue",2011,4
List of European stadiums by capacity,144,Izmit Stadium,"34,712",Izmit, Turkey,Kocaelispor,2017,
List of European stadiums by capacity,145,Stade Jacques Chaban-Delmas,"34,694",Bordeaux, France,Union Bordeaux-Bègles,1924,
List of European stadiums by capacity,146,Samsun Stadium,"33,919",Samsun, Turkey,Samsunspor,2017,
List of European stadiums by capacity,147,Riazor,"34,600",A Coruña, Spain,Deportivo La Coruña.1982 FIFA World Cup venue.,1940,
List of European stadiums by capacity,148,La Romareda,"34,596",Zaragoza, Spain,Real Zaragoza.1982 FIFA World Cup venue.,1957,
List of European stadiums by capacity,149,Grotenburg-Stadion,"34,500",Krefeld, Germany,KFC Uerdingen 05,1927,
List of European stadiums by capacity,150,Chornomorets Stadium,"34,164",Odessa, Ukraine,FC Chornomorets Odesa,2011,4
List of European stadiums by capacity,151,Opel Arena,"34,034",Mainz, Germany,1. FSV Mainz 05,2011,
List of European stadiums by capacity,152,Pearse Stadium,"34,000 26,197",Galway, Ireland,Galway GAA,1957,
List of European stadiums by capacity,153,Gelredome,"34,000",Arnhem, Netherlands,SBV Vitesse,1998,
List of European stadiums by capacity,154,Pride Park Stadium,"33,597",Derby, England,Derby County F.C.,1997,
List of European stadiums by capacity,155,Karaiskakis Stadium,"33,334",Pireaus, Greece,"Olympiacos, Greece national football team",2004,4
List of European stadiums by capacity,156,Cardiff City Stadium,"33,280",Cardiff, Wales,"Cardiff City, Venue for 2014 UEFA Super Cup final",2009,
List of European stadiums by capacity,157,Stadion Henryka Reymana,"33,268",Kraków, Poland,Wisła Kraków,1953,4
List of European stadiums by capacity,158,Metallurg Stadium,"33,220",Samara, Russia,FC Krylya Sovetov Samara,1957,
List of European stadiums by capacity,159,Estadio Nueva Condomina,"33,045",Murcia, Spain,Real Murcia,2006,
List of European stadiums by capacity,160,Krasnodar Stadium,"33,000",Krasnodar, Russia,FC Krasnodar,2016,
List of European stadiums by capacity,161,Khimik Stadium (Kemerovo),"33,000",Kemerovo, Russia,HC Kuzbass; venue for 2007 Bandy World Championship,1947,
List of European stadiums by capacity,162,Tele2 Arena,"33,000",Stockholm, Sweden,"Hammarby IF, Djurgårdens IF",2013,
List of European stadiums by capacity,163,Antalya 100.yıl Stadium,"33,000",Antalya, Turkey,Antalyaspor,2015,4
List of European stadiums by capacity,164,Diyarbakır Stadium,"33,000",Diyarbakır, Turkey,Diyarbekirspor,2018,
List of European stadiums by capacity,165,Dan Păltinişanu Stadium,"32,972",Timişoara, Romania,ACS Poli Timișoara,1964,
List of European stadiums by capacity,166,New Tivoli,"32,960",Aachen, Germany,Alemannia Aachen,2009,
List of European stadiums by capacity,167,Stade de la Mosson,"32,939",Montpellier, France,Montpellier HSC,1972,
List of European stadiums by capacity,168,Kadir Has Stadium,"32,864",Kayseri, Turkey,"Kayserispor, Kayseri Erciyesspor",2009,4
List of European stadiums by capacity,169,Estádio Municipal de Aveiro,"32,830","Aveiro, Portugal", Portugal,S.C. Beira-Mar,2003,4
List of European stadiums by capacity,170,Partizan Stadium,"32,710",Belgrade, Serbia,FK Partizan,1949,
List of European stadiums by capacity,171,Bramall Lane,"32,702",Sheffield, England,"Sheffield United F.C., Sheffield Eagles*",1855,
List of European stadiums by capacity,172,St Mary's Stadium,"32,689",Southampton, England,Southampton F.C.,2001,4
List of European stadiums by capacity,173,Ricoh Arena,"32,602",Coventry, England,"Coventry City, Wasps RFC",2005,4
List of European stadiums by capacity,174,Philip II Arena,"32,580",Skopje, North Macedonia,"FK Vardar, FK Rabotnički, Macedonia national football team*",1947,4
List of European stadiums by capacity,175,Estadio Balaídos,"32,500",Vigo, Spain,Celta de Vigo.1982 FIFA World Cup venue.,1928,
List of European stadiums by capacity,176,Republican Spartak Stadium,"32,464",Vladikavkaz, Russia,FC Alania Vladikavkaz,1962,
List of European stadiums by capacity,177,Stadio Nereo Rocco,"32,454",Trieste, Italy,U.S. Triestina Calcio,1992,
List of European stadiums by capacity,178,Estadio Gran Canaria,"32,392",Las Palmas, Spain,UD Las Palmas,2003,
List of European stadiums by capacity,179,Rosenaustadion,"32,354",Augsburg, Germany,athletics,1951,
List of European stadiums by capacity,180,Stadio Euganeo,"32,336",Padova, Italy,Calcio Padova,1994,
List of European stadiums by capacity,181,King Power Stadium,"32,262",Leicester, England,Leicester City F.C,2002,
List of European stadiums by capacity,182,Estadio Anoeta,"32,200",San Sebastián, Spain,Real Sociedad,1993,
List of European stadiums by capacity,183,Glücksgas Stadium,"32,066",Dresden, Germany,Dynamo Dresden,1923,
List of European stadiums by capacity,184,Hypo-Arena,"32,000",Klagenfurt am Wörthersee, Austria,"SK Austria Kärnten, UEFA Euro 2008",2007,
List of European stadiums by capacity,185,Casement Park,"32,000",Belfast, Northern Ireland,Antrim GAA,1953,
List of European stadiums by capacity,186,Breffni Park,"32,000",Cavan, Ireland,Cavan GAA,1923,
List of European stadiums by capacity,187,Stadio Flaminio,"32,000",Rome, Italy,,1959,
List of European stadiums by capacity,188,Stade de Suisse,"32,000",Bern, Switzerland,"BSC Young Boys, UEFA Euro 2008",2005,
List of European stadiums by capacity,189,Lord's,"32,000",London, England,"Marylebone Cricket Club, Middlesex County Cricket Club, England cricket team*",1814,
List of European stadiums by capacity,190,Paris La Défense Arena,"32,000",Nanterre, France,Racing 92Uses movable seating to transition between field and court sports.,2017,
List of European stadiums by capacity,191,Ernest Pohl Stadium,"31,871",Zabrze, Poland,Górnik Zabrze,1934,
List of European stadiums by capacity,192,Polish Army Stadium,"31,800",Warsaw, Poland,Legia Warszawa,1930,4
List of European stadiums by capacity,193,Tsentralnyi Profsoyuz Stadion,"31,743",Voronezh, Russia,"FC Fakel Voronezh, FC FSA Voronezh",2003,
List of European stadiums by capacity,194,Shakhtar Stadium,"31,718",Donetsk, Ukraine,"FC Shakhtar Donetsk Reserves and Youth Team*, FC Metalurh Donetsk*",1936,
List of European stadiums by capacity,195,Molineux Stadium,"31,700",Wolverhampton, England,Wolverhampton Wanderers F.C.,1889,
List of European stadiums by capacity,196,Kuban Stadium,"31,654",Krasnodar, Russia,FC Kuban Krasnodar,1960,
List of European stadiums by capacity,197,Schauinsland-Reisen-Arena,"31,500",Duisburg, Germany,MSV Duisburg,2004,
List of European stadiums by capacity,198,Ewood Park,"31,367",Blackburn, England,Blackburn Rovers F.C.,1882,
List of European stadiums by capacity,199,Rewirpowerstadion,"31,328",Bochum, Germany,VfL Bochum,1921,
List of European stadiums by capacity,200,Tofiq Bahramov Stadium,"31,200",Baku, Azerbaijan,"Qarabağ FK, Azerbaijan national football team. 2012 FIFA U-17 Women's World Cup venue",1951,
List of European stadiums by capacity,201,Roazhon Park,"31,127",Rennes, France,Stade Rennais FC. 2019 FIFA Women's World Cup venue.,1912,
List of European stadiums by capacity,202,Dnipro-Arena,"31,003",Dnipro, Ukraine,"FC Dnipro, SC Dnipro-1",2008,4
List of European stadiums by capacity,203,Stadionul Ion Oblemenco,"30,929",Craiova, Romania,CS Universitatea Craiova,2017,
List of European stadiums by capacity,204,Sammy Ofer Stadium,"30,870",Haifa, Israel,"Maccabi Haifa F.C., Hapoel Haifa F.C.",,
List of European stadiums by capacity,204,American Express Community Stadium,"30,750",Falmer, England,Brighton & Hove Albion F.C.,2011,
List of European stadiums by capacity,205,Impuls Arena,"30,660",Augsburg, Germany,FC Augsburg,2009,
List of European stadiums by capacity,206,City Ground,"30,602",Nottingham, England,Nottingham Forest F.C.,1898,
List of European stadiums by capacity,207,Terek Stadium,"30,597",Grozni, Russia,FC Terek Grozny,2011,
List of European stadiums by capacity,208,Stadium MK,"30,500",Milton Keynes, England,Milton Keynes Dons F.C.,2007,
List of European stadiums by capacity,209,Estadio Carlos Tartiere,"30,500",Oviedo, Spain,Real Oviedo,2000,
List of European stadiums by capacity,210,VEB Arena,"30,457",Moscow, Russia,CSKA Moscow,2016,4
List of European stadiums by capacity,211,Cluj Arena,"30,335",Cluj Napoca, Romania,Universitatea Cluj Napoca,2011,4
List of European stadiums by capacity,212,Portman Road,"30,311",Ipswich, England,Ipswich Town F.C.,1884,
List of European stadiums by capacity,213,Estádio Algarve,"30,305","Faro, Portugal", Portugal,"S.C. Farense, Louletano DC",2004,4
