0,1,2,3
Academy Award for Original Music Score,1978(51st),Heaven Can Wait,Dave Grusin
Academy Award for Original Music Score,1978(51st),Superman,John Williams
Academy Award for Original Music Score,1978(51st),The Buddy Holly Story,Joe Renzetti
Academy Award for Original Music Score,1978(51st),Pretty Baby,Jerry Wexler
Academy Award for Original Music Score,1978(51st),The Wiz,Quincy Jones
Academy Award for Original Music Score,1979(52nd),A Little Romance,Georges Delerue
Academy Award for Original Music Score,1979(52nd),The Amityville Horror,Lalo Schifrin
Academy Award for Original Music Score,1979(52nd),Star Trek: The Motion Picture,Jerry Goldsmith
Academy Award for Original Music Score,1979(52nd),All That Jazz,Ralph Burns (adaptation score)
Academy Award for Original Music Score,1979(52nd),Breaking Away,Patrick Williams (adaptation score)
Academy Award for Original Music Score,1979(52nd),The Muppet Movie,Paul Williams (song & adaptation score) & Kenny Ascher (song score)
