0,1,2,3,4,5,6,7,8
Major League Baseball Most Valuable Player Award,1970,Boog Powell,Baltimore Orioles,1B,Johnny Bench†,Cincinnati Reds,C,
Major League Baseball Most Valuable Player Award,1971,Vida Blue,Oakland Athletics,LHP,Joe Torre,St. Louis Cardinals,3B,
Major League Baseball Most Valuable Player Award,1974,Jeff Burroughs,Texas Rangers,OF,Steve Garvey,Los Angeles Dodgers,1B,
Major League Baseball Most Valuable Player Award,1975,Fred Lynn,Boston Red Sox,OF,Joe Morgan†,Cincinnati Reds,2B,
Major League Baseball Most Valuable Player Award,1976,Thurman Munson,New York Yankees,C,Joe Morgan†,Cincinnati Reds,2B,
Major League Baseball Most Valuable Player Award,1978,Jim Rice†,Boston Red Sox,OF,Dave Parker,Pittsburgh Pirates,OF,
Major League Baseball Most Valuable Player Award,1979,—,—,—,Willie Stargell†,Pittsburgh Pirates,1B,
Major League Baseball Most Valuable Player Award,1981,Rollie Fingers†,Milwaukee Brewers,RHP,Mike Schmidt†,Philadelphia Phillies,3B,
Major League Baseball Most Valuable Player Award,1982,Robin Yount†,Milwaukee Brewers,SS,Dale Murphy,Atlanta Braves,OF,
Major League Baseball Most Valuable Player Award,1983,"Cal Ripken, Jr.†",Baltimore Orioles,SS,Dale Murphy,Atlanta Braves,OF,
Major League Baseball Most Valuable Player Award,1984,Willie Hernández,Detroit Tigers,LHP,Ryne Sandberg†,Chicago Cubs,2B,
Major League Baseball Most Valuable Player Award,1985,Don Mattingly,New York Yankees,1B,Willie McGee,St. Louis Cardinals,OF,
Major League Baseball Most Valuable Player Award,1987,George Bell,Toronto Blue Jays,OF,Andre Dawson†,Chicago Cubs,OF,
Major League Baseball Most Valuable Player Award,1988,José Canseco,Oakland Athletics,OF,Kirk Gibson§,Los Angeles Dodgers,OF,
Major League Baseball Most Valuable Player Award,1989,Robin Yount†,Milwaukee Brewers,OF,Kevin Mitchell,San Francisco Giants,OF,
Major League Baseball Most Valuable Player Award,1990,Rickey Henderson†,Oakland Athletics,OF,Barry Bonds,Pittsburgh Pirates,OF,
Major League Baseball Most Valuable Player Award,1991,"Cal Ripken, Jr.†",Baltimore Orioles,SS,Terry Pendleton,Atlanta Braves,3B,
Major League Baseball Most Valuable Player Award,1992,Dennis Eckersley†,Oakland Athletics,RHP,Barry Bonds,Pittsburgh Pirates,OF,
Major League Baseball Most Valuable Player Award,1996,Juan González,Texas Rangers,OF,Ken Caminiti§,San Diego Padres,3B,
Major League Baseball Most Valuable Player Award,1997,"Ken Griffey, Jr.§",Seattle Mariners,OF,Larry Walker,Colorado Rockies,OF,
Major League Baseball Most Valuable Player Award,1998,Juan González,Texas Rangers,OF,Sammy Sosa,Chicago Cubs,OF,
Major League Baseball Most Valuable Player Award,1999,Iván Rodríguez,Texas Rangers,C,Chipper Jones,Atlanta Braves,3B,
Major League Baseball Most Valuable Player Award,2000,Jason Giambi^,Oakland Athletics,1B,Jeff Kent,San Francisco Giants,2B,
Major League Baseball Most Valuable Player Award,2002,Miguel Tejada^,Oakland Athletics,SS,Barry Bonds,San Francisco Giants,OF,
