0,1,2,3
Amsterdam Airport Schiphol,Europe Airpost,"Las Palmas de Gran Canaria, Málaga, Tangier  Seasonal: Heraklion, Nador ","D
"
Amsterdam Airport Schiphol,EVA Air,"Bangkok-Suvarnabhumi, Taipei-Taoyuan ","E
"
Amsterdam Airport Schiphol,Finnair,Helsinki ,"B
"
Amsterdam Airport Schiphol,Flybe,"Exeter, Inverness, Southampton ","D, H
"
Amsterdam Airport Schiphol,Garuda Indonesia,"Dubai, Jakarta-Soekarno-Hatta ","D, F
"
Amsterdam Airport Schiphol,Georgian Airways,Tbilisi ,"D
"
Amsterdam Airport Schiphol,Iberia,Madrid ,"B
"
Amsterdam Airport Schiphol,Iberia Express,Madrid ,"B
"
Amsterdam Airport Schiphol,Icelandair,Reykjavík-Keflavík ,"C
"
Amsterdam Airport Schiphol,Iran Air,Tehran-Imam Khomeini ,"E
"
Amsterdam Airport Schiphol,Israir Airlines,Seasonal: Tel Aviv-Ben Gurion ,"G
"
Amsterdam Airport Schiphol,Jat Airways,Belgrade ,"D
"
Amsterdam Airport Schiphol,Jet2.com,Leeds/Bradford ,"H
"
Amsterdam Airport Schiphol,Kenya Airways,Nairobi ,"F
"
Amsterdam Airport Schiphol,Korean Air, Seoul-Incheon ,"F
"
Amsterdam Airport Schiphol,LOT Polish Airlines,Warsaw-Chopin ,"C, D
"
Amsterdam Airport Schiphol,Lufthansa,Frankfurt ,"B
"
Amsterdam Airport Schiphol,Lufthansa Regional   operated by Lufthansa CityLine ,"Hamburg, Munich ","B
"
Amsterdam Airport Schiphol,MAT Airways,Skopje ,"B
"
Amsterdam Airport Schiphol,Malaysia Airlines,Kuala Lumpur ,"E, G
"
Amsterdam Airport Schiphol,Norwegian Air Shuttle,"Copenhagen, Oslo, Stockholm-Arlanda ","M
"
Amsterdam Airport Schiphol,Onur Air,Antalya ,"D, G
"
Amsterdam Airport Schiphol,Pakistan International Airlines," Islamabad, Lahore ","G
"
Amsterdam Airport Schiphol,Pegasus Airlines,"Antalya, Istanbul-Sabiha Gökçen, Kayseri, Konya ","D, G
"
Amsterdam Airport Schiphol,Pegasus Airlines   operated by Izair , İzmir ,"D
"
Amsterdam Airport Schiphol,Rossiya,St. Petersburg ,"D
"
Amsterdam Airport Schiphol,Royal Air Maroc,"Casablanca, Nador, Tangier  Seasonal: Al Hoceima, Oujda ","G
"
Amsterdam Airport Schiphol,Royal Jordanian,Amman-Queen Alia ,"D, G
"
Amsterdam Airport Schiphol,Scandinavian Airlines,"Copenhagen, Oslo, Stockholm-Arlanda ","C
"
Amsterdam Airport Schiphol,Singapore Airlines,Singapore ,"G
"
Amsterdam Airport Schiphol,Sky Airlines,Antalya ,"D
"
Amsterdam Airport Schiphol,Sky Work Airlines,Bern ,"B
"
Amsterdam Airport Schiphol,Sun d'Or International Airlines   operated by El Al , Seasonal: Tel Aviv-Ben Gurion ,"G
"
Amsterdam Airport Schiphol,SunExpress,"Antalya, Istanbul-Sabiha Gökçen, İzmir ","G
"
Amsterdam Airport Schiphol,Sunwing Airlines,Seasonal: Toronto-Pearson ,"G
"
Amsterdam Airport Schiphol,Surinam Airways,Paramaribo ,"G
"
Amsterdam Airport Schiphol,Swiss International Air Lines,Zürich ,"B
"
Amsterdam Airport Schiphol,Syrian Air,"Aleppo, Damascus ","D, G
"
Amsterdam Airport Schiphol,TACV Cabo Verde Airlines,"Sal, Sao Vicente ","D
"
Amsterdam Airport Schiphol,TAP Portugal,Lisbon ,"B
"
Amsterdam Airport Schiphol,TAP Portugal   operated by Portugália ,Porto ,"B
"
Amsterdam Airport Schiphol,TAROM,Bucharest-Henri Coandă ,"D
"
Amsterdam Airport Schiphol,Transavia.com," Agadir, Alicante, Almería, Antalya, Athens, Barcelona, Berlin-Tegel, Bodrum, Budapest, Catania, Dalaman, Djerba, Enfidha, Faro, Fuerteventura, Funchal, Hurghada, Innsbruck, Istanbul-Sabiha Gökçen, İzmir, Jerez de la Frontera, Las Palmas de Gran Canaria, Lisbon, Luxor, Málaga, Marrakech, Marsa Alam, Minorca, Montpellier, Naples, Nice, Pisa, Olbia, Santa Cruz de la Palma, Seville, Sharm el-Sheikh, Taba, Tenerife-South, Valencia, Venice-Treviso, Verona  Seasonal: Biarritz, Burgas, Cephalonia, Chambéry, Chania, Chios, Corfu, Girona-Costa Brava, Heraklion, Ibiza, Kithira, Kos, Lesbos, Palma de Mallorca, Preveza/Lefkada, Rhodes, Rovaniemi, Salzburg, Samos, Thessaloniki, Varna, Volos, Zakynthos ","B, C, D, E, G
"
Amsterdam Airport Schiphol,Tunisair,Tunis ,"D
"
Amsterdam Airport Schiphol,Turkish Airlines,"Ankara, Antalya, Istanbul-Atatürk, İzmir ","G
"
Amsterdam Airport Schiphol,Turkish Airlines," Ankara, Istanbul-Atatürk ","G
"
Amsterdam Airport Schiphol,Ukraine International Airlines,Kiev-Boryspil ,"D
"
Amsterdam Airport Schiphol,US Airways,Philadelphia ,"G
"
Amsterdam Airport Schiphol,Vueling Airlines,"Alicante, Barcelona, Bilbao, Málaga, Palma de Mallorca, Valencia  Seasonal: A Coruña, Ibiza, Seville ","B
"
Amsterdam Airport Schiphol,WOW Air,Reykjavík-Keflavík ,"C
"
