0,1,2,3,4,5,6,7,8
White House Chief of Staff,15,"
","Skinner, SamuelSamuel Skinner(born 1938)","December 16, 1991","August 23, 1992",251 days,Republican,"Bush, GeorgeGeorge H. W. Bush (Rep)(1989 – 1993)"
White House Chief of Staff,16,"
","Baker, JamesJames Baker(born 1930)","August 23, 1992","January 20, 1993",150 days,Republican,"Bush, GeorgeGeorge H. W. Bush (Rep)(1989 – 1993)"
White House Chief of Staff,17,"
","McLarty, MackMack McLarty(born 1946)","January 20, 1993","July 17, 1994","1 year, 178 days",Democratic,"Clinton, BillBill Clinton (Dem)(1993 – 2001)"
White House Chief of Staff,18,"
","Panetta, LeonLeon Panetta(born 1938)","July 17, 1994","January 20, 1997","2 years, 187 days",Democratic,"Clinton, BillBill Clinton (Dem)(1993 – 2001)"
White House Chief of Staff,19,"
","Bowles, ErskineErskine Bowles(born 1945)","January 20, 1997","October 20, 1998","1 year, 273 days",Democratic,"Clinton, BillBill Clinton (Dem)(1993 – 2001)"
White House Chief of Staff,20,"
","Podesta, JohnJohn Podesta(born 1949)","October 20, 1998","January 20, 2001","2 years, 92 days",Democratic,"Clinton, BillBill Clinton (Dem)(1993 – 2001)"
White House Chief of Staff,21,"
","Card, AndrewAndrew Card(born 1947)","January 20, 2001","April 14, 2006","5 years, 84 days",Republican,"Bush, GeorgeGeorge W. Bush (Rep)(2001 – 2009)"
White House Chief of Staff,22,"
","Bolten, JoshuaJoshua Bolten(born 1954)","April 14, 2006","January 20, 2009","2 years, 281 days",Republican,"Bush, GeorgeGeorge W. Bush (Rep)(2001 – 2009)"
White House Chief of Staff,23,"
","Emanuel, RahmRahm Emanuel(born 1959)","January 20, 2009","October 1, 2010","1 year, 254 days",Democratic,"Obama, BarackBarack Obama (Dem)(2009 – 2017)"
White House Chief of Staff,–,"
","Rouse, PetePete Rouse(born 1946)Acting","October 1, 2010","January 13, 2011",104 days,Democratic,"Obama, BarackBarack Obama (Dem)(2009 – 2017)"
White House Chief of Staff,24,"
","Daley, WilliamBill Daley(born 1948)","January 13, 2011","January 27, 2012","1 year, 14 days",Democratic,"Obama, BarackBarack Obama (Dem)(2009 – 2017)"
White House Chief of Staff,25,"
","Lew, JackJack Lew(born 1955)","January 27, 2012","January 20, 2013",359 days,Democratic,"Obama, BarackBarack Obama (Dem)(2009 – 2017)"
White House Chief of Staff,26,"
","McDonough, DenisDenis McDonough(born 1969)","January 20, 2013","January 20, 2017","4 years, 0 days",Democratic,"Obama, BarackBarack Obama (Dem)(2009 – 2017)"
