0,1,2,3
Academy Award for Best Picture,2013(86th),Nebraska,Albert Berger and Ron Yerxa
Academy Award for Best Picture,2013(86th),Philomena,"Gabrielle Tana, Steve Coogan, and Tracey Seaward"
Academy Award for Best Picture,2013(86th),The Wolf of Wall Street,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff"
Academy Award for Best Picture,2014(87th),Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher, and James W. Skotchdopole"
Academy Award for Best Picture,2014(87th),Boyhood,Richard Linklater and Cathleen Sutherland
Academy Award for Best Picture,2014(87th),The Imitation Game,"Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman"
Academy Award for Best Picture,2014(87th),Selma,"Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner"
Academy Award for Best Picture,2014(87th),The Theory of Everything,"Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten"
Academy Award for Best Picture,2014(87th),Whiplash,"Jason Blum, Helen Estabrook, and David Lancaster"
Academy Award for Best Picture,2015(88th),Spotlight,"Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar"
Academy Award for Best Picture,2015(88th),The Big Short,"Dede Gardner, Jeremy Kleiner, and Brad Pitt"
Academy Award for Best Picture,2015(88th),Bridge of Spies,"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger"
Academy Award for Best Picture,2015(88th),Brooklyn,Finola Dwyer and Amanda Posey
Academy Award for Best Picture,2015(88th),Mad Max: Fury Road,Doug Mitchell and George Miller
Academy Award for Best Picture,2015(88th),The Martian,"Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam"
Academy Award for Best Picture,2015(88th),The Revenant,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, and Keith Redmon"
Academy Award for Best Picture,2015(88th),Room,Ed Guiney
Academy Award for Best Picture,2016(89th),Moonlight,"Adele Romanski, Dede Gardner, and Jeremy Kleiner"
Academy Award for Best Picture,2016(89th),Arrival,"Shawn Levy, Dan Levine, Aaron Ryder, and David Linde"
Academy Award for Best Picture,2016(89th),Fences,"Scott Rudin, Denzel Washington, and Todd Black"
Academy Award for Best Picture,2016(89th),Hacksaw Ridge,Bill Mechanic and David Permut
Academy Award for Best Picture,2016(89th),Hell or High Water,Carla Hacken and Julie Yorn
Academy Award for Best Picture,2016(89th),Hidden Figures,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi"
Academy Award for Best Picture,2016(89th),La La Land,"Fred Berger, Jordan Horowitz, and Marc Platt"
Academy Award for Best Picture,2016(89th),Lion,"Emile Sherman, Iain Canning, and Angie Fielder"
Academy Award for Best Picture,2016(89th),Manchester by the Sea,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh"
Academy Award for Best Picture,2017(90th),The Shape of Water,Guillermo del Toro and J. Miles Dale
Academy Award for Best Picture,2017(90th),Call Me by Your Name,"Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito"
Academy Award for Best Picture,2017(90th),Darkest Hour,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski"
Academy Award for Best Picture,2017(90th),Lady Bird,"Scott Rudin, Eli Bush, and Evelyn O'Neill"
Academy Award for Best Picture,2017(90th),Phantom Thread,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi"
Academy Award for Best Picture,2017(90th),The Post,"Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger"
Academy Award for Best Picture,2017(90th),"Three Billboards Outside Ebbing, Missouri","Graham Broadbent, Pete Czernin, and Martin McDonagh"
Academy Award for Best Picture,2018(91st),Green Book,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga"
Academy Award for Best Picture,2018(91st),Black Panther,Kevin Feige
Academy Award for Best Picture,2018(91st),BlacKkKlansman,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee"
Academy Award for Best Picture,2018(91st),Bohemian Rhapsody,Graham King
Academy Award for Best Picture,2018(91st),The Favourite,"Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos"
Academy Award for Best Picture,2018(91st),Roma,Gabriela Rodríguez and Alfonso Cuarón
Academy Award for Best Picture,2018(91st),A Star Is Born,"Bill Gerber, Bradley Cooper, and Lynette Howell Taylor"
Academy Award for Best Picture,2018(91st),Vice,"Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick"
Academy Award for Best Picture,2019(92nd),Parasite,Kwak Sin-ae and Bong Joon-ho
Academy Award for Best Picture,2019(92nd),Ford v Ferrari,"Peter Chernin, Jenno Topping, and James Mangold"
Academy Award for Best Picture,2019(92nd),The Irishman,"Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff"
Academy Award for Best Picture,2019(92nd),Jojo Rabbit,"Carthew Neal, Taika Waititi, and Chelsea Winstanley"
Academy Award for Best Picture,2019(92nd),Joker,"Todd Phillips, Bradley Cooper, and Emma Tillinger Koskoff"
Academy Award for Best Picture,2019(92nd),Little Women,Amy Pascal
Academy Award for Best Picture,2019(92nd),Marriage Story,Noah Baumbach and David Heyman
Academy Award for Best Picture,2019(92nd),1917,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall"
Academy Award for Best Picture,2019(92nd),Once Upon a Time in Hollywood,"David Heyman, Shannon McIntosh, and Quentin Tarantino"
